#{"t_start": 1768248100.72864, "env_id": "DielsAlderReact-v0"}
r,l,t
0.000833,20,0.916658
0.000703,20,0.921158
0.000558,20,0.925409
0.04163,20,0.939741
0.000716,20,0.944235
0.032539,20,0.948539
0.000522,20,0.952791
0.029772,20,0.957073
0.042967,20,0.972468
0.042963,20,0.986196
0.000735,20,0.990414
0.000794,20,0.995456
0.000594,20,1.082883
0.002642,20,1.087257
0.001035,20,1.091662
0.007217,20,1.09707
0.002651,20,1.102028
0.042891,20,1.117898
0.042846,20,1.1337
0.042776,20,1.148208
0.04163,20,1.162463
0.000558,20,1.166784
0.00073,20,1.171202
0.044216,20,1.186114
0.002092,20,1.19036
0.001046,20,1.23899
0.000464,20,1.243345
0.000831,20,1.247592
0.044209,20,1.261869
0.043503,20,1.276245
0.043262,20,1.290341
0.002921,20,1.294579
0.000904,20,1.298909
0.01005,20,1.303239
0.042673,20,1.317419
0.000614,20,1.321767
0.001064,20,1.326298
0.04163,20,1.340591
0.010044,20,1.385637
0.001364,20,1.389878
0.04189,20,1.404164
0.005289,20,1.408537
0.001879,20,1.412872
0.041793,20,1.427255
0.001297,20,1.431579
0.043801,20,1.445546
0.041592,20,1.460208
0.001291,20,1.464494
0.042526,20,1.47876
0.000991,20,1.482989
0.001105,20,1.487235
0.002173,20,1.532499
0.000961,20,1.536933
0.001579,20,1.541289
0.04345,20,1.556935
0.000858,20,1.561429
0.001138,20,1.565864
0.001278,20,1.570566
0.000992,20,1.575115
0.000921,20,1.57947
0.043659,20,1.593973
0.043428,20,1.609553
0.042447,20,1.624253
0.04163,20,1.639553
0.044321,20,1.695944
0.04383,20,1.710564
0.001389,20,1.715314
0.001411,20,1.719774
0.002333,20,1.724154
0.043401,20,1.739047
0.04163,20,1.753928
0.043756,20,1.768957
0.043989,20,1.78379
0.042588,20,1.79837
0.001694,20,1.803181
0.041862,20,1.817423
0.04387,20,1.877533
0.043384,20,1.893376
0.042223,20,1.912145
0.041726,20,1.930634
0.043247,20,1.946851
0.043889,20,1.961524
0.04163,20,1.975877
0.041929,20,1.990652
0.044105,20,2.005379
0.00131,20,2.009985
0.005049,20,2.014197
0.043425,20,2.028756
0.043412,20,2.045783
