,dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap,target_raw,target_scaled
521,1_3,1_2_4_7,49.877,45.944,53.983,50.934,-13.135,-13.299,-13.432,-16.086,1.074,1.091,0.998,1.059,-0.243,-7.245,0.06,-0.01,-0.2,-0.27,0.255,0.226,-0.173,0.328,1.08,2.25,1.53,2.7,98.427,636.378,642.238,334.486,1.104,1.048,1.779,-7.75,0.06,-0.27,0.121,0.017,1.08,1.53,98.427,334.486,7.507,9.024,49.877,45.944,45.944,3.933,-13.432,-16.086,2.655,7.507,45.944,0.6781997011850034
737,2_7,3_6_3_1,33.879,31.208,35.337,33.023,-9.689,-19.896,-12.151,-20.851,1.058,1.009,1.164,0.982,0.496,-7.532,-0.27,0.06,0.0,0.06,0.134,0.231,0.31,-0.431,1.53,1.0,1.08,1.08,334.486,98.427,60.96,98.427,1.095,0.903,-1.149,-8.015,0.66,-0.01,-0.373,-0.136,1.02,2.7,164.182,636.378,8.511,6.382,33.879,31.208,31.208,2.671,-12.151,-20.851,8.7,6.382,31.208,-0.8046686701054931
740,3_4,4_6_2_4,43.231,43.508,43.039,43.674,-9.795,-9.369,-11.476,-20.953,1.015,1.01,1.103,1.09,0.701,-7.332,-0.17,-0.17,0.0,-0.2,-0.218,0.235,-0.057,-0.267,1.5,1.0,2.25,1.5,185.535,185.535,60.96,642.238,1.007,1.095,1.831,-7.467,-0.27,-0.17,0.106,-0.335,1.53,1.5,334.486,185.535,8.169,9.163,43.039,43.508,43.039,-0.469,-11.476,-20.953,9.476,8.169,43.039,0.3858725690868157
660,5_9,1_4_4_4,44.948,42.545,47.244,42.494,-2.308,-20.233,-17.729,-19.118,1.075,1.05,1.026,1.058,0.686,-7.443,0.06,-0.17,-0.27,-0.27,0.189,0.23,0.159,0.233,1.08,1.53,1.53,1.5,98.427,185.535,334.486,334.486,0.876,1.056,-0.708,-8.875,-0.2,0.42,-0.122,-0.373,2.25,1.1,642.238,291.269,9.561,6.735,44.948,42.494,42.494,2.454,-17.729,-20.233,2.504,6.735,42.494,0.3310297852680506
411,3_3,3_6_1_8,36.179,36.179,35.979,35.979,-16.244,-16.244,-13.489,-13.489,0.935,1.156,0.992,1.032,-1.557,-7.745,-0.27,0.45,0.0,0.66,0.22,0.232,-0.378,-0.093,1.53,1.0,1.02,1.75,334.486,467.957,60.96,164.182,1.074,1.074,1.92,-7.114,-0.27,-0.27,0.023,0.023,1.53,1.53,334.486,334.486,5.557,9.665,35.979,35.979,35.979,0.0,-16.244,-16.244,0.0,5.557,35.979,-0.3245678965287452
678,5_8,2_6_6_1,39.152,38.444,39.09,38.852,-7.378,-7.319,-19.802,-19.639,0.949,1.098,0.921,1.113,-1.001,-8.259,0.66,0.06,0.0,0.0,0.294,0.226,-0.394,-0.148,1.02,1.0,1.0,1.08,164.182,98.427,60.96,60.96,0.871,1.076,-0.346,-8.89,-0.2,0.45,-0.115,-0.378,2.25,1.75,642.238,467.957,7.889,7.913,39.09,38.444,38.444,0.646,-19.802,-19.639,-0.163,7.889,38.444,-0.0765175073301107
626,4_9,2_1_2_6,33.655,31.524,32.92,33.359,-16.682,-17.795,-16.767,-18.351,1.013,0.994,1.044,1.011,-1.764,-8.71,0.66,0.0,0.66,-0.2,-0.265,0.316,-0.076,-0.049,1.02,1.02,2.25,1.0,164.182,60.96,164.182,642.238,0.875,1.066,-0.546,-8.904,-0.17,0.42,-0.127,-0.385,1.5,1.1,185.535,291.269,7.139,8.164,32.92,31.524,31.524,1.396,-16.767,-18.351,1.583,7.139,31.524,-0.7728699183867227
513,5_8,3_3_4_3,43.096,41.688,44.486,43.142,-2.461,-0.614,-14.033,-15.92,1.086,0.918,1.107,1.004,0.783,-6.906,-0.27,-0.27,0.06,-0.27,0.063,0.239,0.272,0.146,1.53,1.08,1.53,1.53,334.486,334.486,98.427,334.486,0.871,1.076,-0.346,-8.89,-0.2,0.45,-0.115,-0.378,2.25,1.75,642.238,467.957,9.672,6.56,43.096,41.688,41.688,1.408,-14.033,-15.92,1.887,6.56,41.688,0.24992284259295994
859,6_8,1_6_3_2,30.96,31.937,31.673,31.37,-25.415,-16.944,-18.836,-24.44,0.941,1.128,0.902,1.166,-1.026,-8.464,0.06,0.66,0.0,0.06,0.321,0.234,-0.44,0.511,1.08,1.0,1.08,1.02,98.427,164.182,60.96,98.427,0.895,1.043,-0.348,-9.411,0.0,0.45,-0.35,-0.368,1.0,1.75,60.96,467.957,8.385,8.116,30.96,31.37,30.96,-0.41,-25.415,-24.44,-0.975,8.116,30.96,-0.8296246524670593
136,2_3,2_6_6_5,40.006,44.231,43.927,45.501,-9.214,-2.136,-10.828,-4.208,1.116,0.906,1.06,0.929,-0.933,-7.994,0.66,-0.2,0.0,0.0,-0.387,0.289,-0.14,-0.308,1.02,1.0,1.0,2.25,164.182,642.238,60.96,60.96,1.209,0.871,0.011,-8.258,0.66,-0.27,-0.5,0.238,1.02,1.53,164.182,334.486,7.325,8.004,40.006,44.231,40.006,-4.226,-10.828,-4.208,-6.619,7.325,40.006,0.08066492996330347
