dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap
1_6,4_6_3_4,35.208,35.826,36.255,36.329,-25.717,-26.42,-27.521,-22.617,1.057,1.018,1.075,0.987,0.269,-7.513,-0.17,-0.17,0.0,0.06,-0.306,0.254,0.385,-0.334,1.5,1.0,1.08,1.5,185.535,185.535,60.96,98.427,0.983,1.082,1.33,-8.949,0.06,0.0,0.223,-0.568,1.08,1.0,98.427,60.96,9.218,8.843,35.208,35.826,35.208,-0.618,-27.521,-26.42,-1.101,8.843
2_2,1_3_6_2,32.508,32.508,32.777,32.777,-22.461,-22.461,-22.631,-22.631,0.987,1.091,0.923,1.072,-1.351,-8.24,0.06,0.66,0.06,0.0,0.219,0.24,0.283,-0.208,1.08,1.08,1.0,1.02,98.427,164.182,98.427,60.96,0.978,0.978,-1.736,-9.745,0.66,0.66,-0.268,-0.268,1.02,1.02,164.182,164.182,8.394,6.505,32.508,32.508,32.508,0.0,-22.631,-22.631,0.0,6.505
4_8,4_4_6_2,36.49,33.49,35.169,35.7,-15.327,-13.861,-22.384,-22.639,1.152,1.025,1.041,0.972,-0.95,-7.796,-0.17,0.66,-0.27,0.0,-0.366,0.294,-0.18,0.244,1.5,1.53,1.0,1.02,185.535,164.182,334.486,60.96,0.873,1.087,-0.165,-8.898,-0.17,0.45,-0.122,-0.391,1.5,1.75,185.535,467.957,7.947,7.631,35.169,33.49,33.49,1.678,-22.384,-22.639,0.255,7.631
1_8,5_1_1_6,33.878,33.546,35.541,34.38,-19.816,-22.315,-20.937,-22.663,0.854,1.127,1.095,0.927,-1.198,-8.636,-0.2,0.0,0.66,0.66,-0.057,0.268,-0.193,-0.178,2.25,1.02,1.02,1.0,642.238,60.96,164.182,164.182,0.894,1.125,-0.239,-9.257,0.06,0.45,0.324,-0.475,1.08,1.75,98.427,467.957,8.059,8.397,33.878,33.546,33.546,0.333,-20.937,-22.663,1.726,8.059
1_4,4_4_3_9,43.425,39.778,43.486,42.724,-11.973,-20.854,-20.108,-22.699,0.948,1.07,0.854,1.138,-1.11,-7.96,-0.17,0.42,-0.27,0.06,-0.195,0.26,0.201,0.469,1.5,1.53,1.08,1.1,185.535,291.269,334.486,98.427,1.019,1.055,1.656,-8.44,0.06,-0.17,0.208,-0.334,1.08,1.5,98.427,185.535,7.329,9.616,43.425,39.778,39.778,3.647,-20.108,-22.699,2.591,7.329
5_9,1_2_4_1,43.199,49.18,45.491,47.57,-9.352,-24.595,-23.878,-22.721,0.997,1.077,1.035,1.08,0.891,-7.976,0.06,0.06,-0.2,-0.27,0.258,0.227,-0.175,0.199,1.08,2.25,1.53,1.08,98.427,98.427,642.238,334.486,0.876,1.056,-0.708,-8.875,-0.2,0.42,-0.122,-0.373,2.25,1.1,642.238,291.269,9.766,7.268,43.199,47.57,43.199,-4.371,-23.878,-24.595,0.717,7.268
4_9,6_3_2_6,35.655,32.864,34.818,34.27,-16.147,-16.315,-22.734,-22.751,0.997,1.014,0.959,1.093,0.194,-8.114,0.0,0.0,0.06,-0.2,-0.41,0.239,-0.103,0.401,1.0,1.08,2.25,1.0,60.96,60.96,98.427,642.238,0.875,1.066,-0.546,-8.904,-0.17,0.42,-0.127,-0.385,1.5,1.1,185.535,291.269,9.097,7.568,34.818,32.864,32.864,1.954,-22.734,-22.751,0.017,7.568
1_9,2_4_1_6,35.481,33.473,36.366,35.007,-17.901,-25.01,-26.206,-22.755,1.155,0.921,1.117,0.958,-1.305,-8.483,0.66,0.0,-0.27,0.66,-0.435,0.307,0.419,-0.251,1.02,1.53,1.02,1.0,164.182,60.96,334.486,164.182,0.895,1.103,-0.687,-9.217,0.06,0.42,0.317,-0.467,1.08,1.1,98.427,291.269,7.911,7.796,35.481,33.473,33.473,2.008,-26.206,-25.01,-1.196,7.796
3_7,1_1_4_3,35.66,34.6,36.396,36.209,-14.858,-12.588,-16.283,-22.794,1.011,1.13,1.131,0.993,-0.526,-7.491,0.06,-0.27,0.66,-0.27,0.354,0.248,-0.314,0.202,1.08,1.02,1.53,1.53,98.427,334.486,164.182,334.486,0.967,1.124,0.024,-7.025,-0.27,-0.01,0.156,-0.362,1.53,2.7,334.486,636.378,6.499,7.515,35.66,34.6,34.6,1.06,-16.283,-22.794,6.511,6.499
8_8,5_1_3_1,34.305,34.305,35.006,35.006,-18.038,-18.038,-22.808,-22.808,1.062,0.995,1.133,0.854,-0.891,-8.317,-0.2,0.06,0.66,0.06,0.179,0.24,0.326,-0.253,2.25,1.02,1.08,1.08,642.238,98.427,164.182,98.427,0.949,1.031,-0.671,-9.446,0.45,0.45,-0.246,-0.325,1.75,1.75,467.957,467.957,8.555,7.646,34.305,34.305,34.305,0.0,-22.808,-22.808,0.0,7.646
3_3,1_2_6_6,39.906,39.906,39.266,39.266,-28.278,-28.278,-22.812,-22.812,1.004,1.048,1.092,1.094,0.45,-7.821,0.06,0.0,-0.2,0.0,0.239,0.223,-0.147,-0.254,1.08,2.25,1.0,1.0,98.427,60.96,642.238,60.96,1.074,1.074,1.92,-7.114,-0.27,-0.27,0.023,0.023,1.53,1.53,334.486,334.486,7.564,9.741,39.266,39.266,39.266,0.0,-28.278,-28.278,0.0,7.564
4_4,4_6_1_2,31.897,31.897,33.561,33.561,-14.206,-14.206,-22.85,-22.85,1.023,0.987,1.088,0.937,-1.884,-8.401,-0.17,0.66,0.0,0.66,-0.285,0.312,-0.083,-0.294,1.5,1.0,1.02,1.02,185.535,164.182,60.96,164.182,1.012,1.013,1.714,-8.088,-0.17,-0.17,-0.243,-0.243,1.5,1.5,185.535,185.535,6.204,10.116,31.897,31.897,31.897,0.0,-22.85,-22.85,0.0,6.204
1_5,4_4_6_1,41.418,39.836,45.255,40.393,-16.067,-30.268,-26.186,-22.903,1.08,1.159,1.029,1.04,0.566,-7.478,-0.17,0.06,-0.27,0.0,0.261,0.222,-0.404,0.272,1.5,1.53,1.0,1.08,185.535,98.427,334.486,60.96,1.011,1.054,1.418,-8.429,0.06,-0.2,0.22,-0.329,1.08,2.25,98.427,642.238,8.995,8.896,41.418,39.836,39.836,1.582,-26.186,-30.268,4.082,8.896
1_1,4_2_3_4,40.464,40.464,41.358,41.358,-22.002,-22.002,-22.921,-22.921,0.972,1.034,0.85,1.133,0.713,-7.656,-0.17,-0.17,-0.2,0.06,-0.185,0.244,-0.104,0.398,1.5,2.25,1.08,1.5,185.535,185.535,642.238,98.427,1.061,1.061,1.545,-8.806,0.06,0.06,0.124,0.124,1.08,1.08,98.427,98.427,9.519,9.202,40.464,40.464,40.464,0.0,-22.921,-22.921,0.0,9.202
