,dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap,target_raw,target_scaled
29,2_6,5_2_2_8,64.649,64.789,64.604,60.611,12.84,20.631,10.638,12.211,1.122,1.057,0.926,1.148,-0.176,-7.92,-0.2,0.45,-0.2,-0.2,-0.213,0.235,-0.032,0.099,2.25,2.25,2.25,1.75,642.238,467.957,642.238,642.238,1.071,0.882,-0.457,-9.433,0.66,0.0,-0.38,-0.33,1.02,1.0,164.182,60.96,9.257,7.462,64.604,60.611,60.611,3.993,10.638,12.211,-1.573,7.462,60.611,2.15412467415716
535,6_7,1_1_2_3,38.252,33.851,38.096,34.967,-15.771,-16.099,-17.076,-16.342,1.052,1.114,1.122,0.968,-0.268,-7.627,0.06,-0.27,0.66,-0.2,0.343,0.244,-0.269,-0.132,1.08,1.02,2.25,1.53,98.427,334.486,164.182,642.238,1.0,1.0,-0.294,-7.636,0.0,-0.01,-0.429,-0.25,1.0,2.7,60.96,636.378,7.368,7.333,38.096,33.851,33.851,4.245,-17.076,-16.342,-0.733,7.333,33.851,-0.5387063258247669
695,1_3,5_1_6_4,39.571,39.35,41.735,39.245,-17.132,-16.507,-15.79,-19.997,1.021,1.087,1.1,0.887,-0.611,-7.886,-0.2,-0.17,0.66,0.0,-0.184,0.241,-0.267,-0.199,2.25,1.02,1.0,1.5,642.238,185.535,164.182,60.96,1.104,1.048,1.779,-7.75,0.06,-0.27,0.121,0.017,1.08,1.53,98.427,334.486,7.138,9.664,39.571,39.245,39.245,0.327,-17.132,-19.997,2.865,7.138,39.245,0.004086290539302964
557,4_4,2_4_1_5,40.564,40.564,43.292,43.292,-5.073,-5.073,-16.731,-16.731,1.192,0.896,1.134,0.886,-1.176,-8.229,0.66,-0.2,-0.27,0.66,-0.455,0.305,0.434,-0.256,1.02,1.53,1.02,2.25,164.182,642.238,334.486,164.182,1.012,1.013,1.714,-8.088,-0.17,-0.17,-0.243,-0.243,1.5,1.5,185.535,185.535,6.912,9.943,40.564,40.564,40.564,0.0,-16.731,-16.731,0.0,6.912,40.564,0.13681589027682795
836,1_8,4_1_6_9,34.135,34.721,34.402,36.375,-15.777,-18.494,-16.515,-23.548,0.821,1.133,0.935,1.049,-1.468,-8.357,-0.17,0.42,0.66,0.0,-0.045,0.266,-0.235,-0.149,1.5,1.02,1.0,1.1,185.535,291.269,164.182,60.96,0.894,1.125,-0.239,-9.257,0.06,0.45,0.324,-0.475,1.08,1.75,98.427,467.957,7.79,8.117,34.135,34.721,34.135,-0.586,-16.515,-23.548,7.033,7.79,34.135,-0.5101277008623281
596,5_8,5_2_3_6,47.383,57.639,46.487,59.279,-4.243,8.001,1.164,-17.67,0.957,1.03,0.797,1.156,0.641,-7.998,-0.2,0.0,-0.2,0.06,-0.174,0.242,-0.096,0.412,2.25,2.25,1.08,1.0,642.238,60.96,642.238,98.427,0.871,1.076,-0.346,-8.89,-0.2,0.45,-0.115,-0.378,2.25,1.75,642.238,467.957,9.531,7.652,46.487,57.639,46.487,-11.152,-4.243,-17.67,13.427,7.652,46.487,0.7328412270814976
165,5_5,4_6_6_2,55.806,55.806,58.943,58.943,1.542,1.542,-5.78,-5.78,1.114,0.904,1.062,0.929,-0.951,-7.985,-0.17,0.66,0.0,0.0,-0.387,0.288,-0.144,-0.312,1.5,1.0,1.0,1.02,185.535,164.182,60.96,60.96,1.004,1.004,1.342,-8.123,-0.2,-0.2,-0.226,-0.226,2.25,2.25,642.238,642.238,7.172,9.327,55.806,55.806,55.806,0.0,-5.78,-5.78,0.0,7.172,55.806,1.67060251590181
918,1_7,3_3_6_6,32.123,36.872,34.855,37.061,-18.136,-24.817,-26.187,-26.663,1.023,1.094,1.058,1.047,0.147,-7.276,-0.27,0.0,0.06,0.0,0.06,0.235,0.302,-0.316,1.53,1.08,1.0,1.0,334.486,60.96,98.427,60.96,0.988,1.077,-0.192,-7.615,0.06,-0.01,0.249,-0.355,1.08,2.7,98.427,636.378,7.762,7.084,32.123,36.872,32.123,-4.749,-26.187,-26.663,0.476,7.084,32.123,-0.7125931706666493
495,6_6,4_3_2_4,38.203,38.203,38.204,38.204,-15.704,-15.704,-15.704,-15.704,0.972,1.034,0.85,1.133,0.713,-7.656,-0.17,-0.17,0.06,-0.2,-0.185,0.244,-0.104,0.398,1.5,1.08,2.25,1.5,185.535,185.535,98.427,642.238,0.998,0.998,1.102,-9.105,0.0,0.0,-0.454,-0.454,1.0,1.0,60.96,60.96,9.818,8.759,38.203,38.203,38.203,0.0,-15.704,-15.704,0.0,8.759,38.203,-0.10076908696372966
824,1_4,5_3_1_8,35.816,34.174,37.678,34.842,-16.559,-20.378,-16.538,-23.215,1.002,1.015,1.018,0.961,-1.867,-8.363,-0.2,0.45,0.06,0.66,-0.231,0.271,0.398,-0.146,2.25,1.08,1.02,1.75,642.238,467.957,98.427,164.182,1.019,1.055,1.656,-8.44,0.06,-0.17,0.208,-0.334,1.08,1.5,98.427,185.535,6.573,10.019,35.816,34.174,34.174,1.642,-16.559,-23.215,6.656,6.573,34.174,-0.5062031713780493
