dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap
4_6,5_2_2_5,91.48,85.946,85.848,93.129,34.443,36.077,37.005,42.563,1.092,1.051,1.051,1.092,1.218,-7.646,-0.2,-0.2,-0.2,-0.2,-0.228,0.228,-0.016,-0.016,2.25,2.25,2.25,2.25,642.238,642.238,642.238,642.238,0.975,1.037,1.376,-8.571,-0.17,0,-0.226,-0.472,1.5,1,185.535,60.96,9.788,9.022,85.848,85.946,85.848,-0.098,34.443,36.077,-1.634,9.022
4_9,5_2_2_3,68.077,69.465,68.492,69.729,22.931,23.261,13.035,37.555,1.151,1.081,1.011,1.025,1.229,-7.162,-0.2,-0.27,-0.2,-0.2,0.115,0.216,-0.108,-0.022,2.25,2.25,2.25,1.53,642.238,334.486,642.238,642.238,0.875,1.066,-0.546,-8.904,-0.17,0.42,-0.127,-0.385,1.5,1.1,185.535,291.269,10.132,6.616,68.077,69.465,68.077,-1.388,13.035,23.261,-10.226,6.616
5_5,3_2_2_1,90.996,90.996,80.073,80.073,15.623,15.623,34.097,34.097,1.116,1.101,1.091,0.99,1.258,-7.341,-0.27,0.06,-0.2,-0.2,0.229,0.222,-0.118,-0.125,1.53,2.25,2.25,1.08,334.486,98.427,642.238,642.238,1.004,1.004,1.342,-8.123,-0.2,-0.2,-0.226,-0.226,2.25,2.25,642.238,642.238,9.381,8.683,80.073,80.073,80.073,0,15.623,15.623,0,8.683
3_7,5_2_2_2,83.285,78.464,78.559,77.336,31.327,26.402,28.95,33.326,1.207,1.073,1.013,0.997,-0.273,-8.05,-0.2,0.66,-0.2,-0.2,-0.398,0.295,0.113,-0.036,2.25,2.25,2.25,1.02,642.238,164.182,642.238,642.238,0.967,1.124,0.024,-7.025,-0.27,-0.01,0.156,-0.362,1.53,2.7,334.486,636.378,6.752,8.074,78.559,77.336,77.336,1.224,28.95,26.402,2.548,6.752
4_5,1_2_2_5,85.74,89.821,75.982,82.604,21.85,36.654,28.529,32.531,1.116,1.101,1.011,0.997,1.094,-7.91,0.06,-0.2,-0.2,-0.2,0.218,0.219,-0.115,-0.028,1.08,2.25,2.25,2.25,98.427,642.238,642.238,642.238,0.999,1.017,1.462,-8.094,-0.17,-0.2,-0.228,-0.241,1.5,2.25,185.535,642.238,9.187,9.372,75.982,82.604,75.982,-6.622,21.85,32.531,-10.681,9.187
2_8,5_2_2_5,80.906,82.844,87.016,81.682,34.147,32.21,31.97,31.978,1.092,1.051,1.051,1.092,1.218,-7.646,-0.2,-0.2,-0.2,-0.2,-0.228,0.228,-0.016,-0.016,2.25,2.25,2.25,2.25,642.238,642.238,642.238,642.238,0.99,0.949,-1.494,-9.69,0.66,0.45,-0.29,-0.26,1.02,1.75,164.182,467.957,10.908,6.152,80.906,81.682,80.906,-0.776,31.97,31.978,-0.007,6.152
3_7,5_2_2_9,80.387,80.357,77.139,76.96,41.007,37.111,39.559,31.801,1.009,1.014,1.057,1.184,-0.579,-7.922,-0.2,0.42,-0.2,-0.2,-0.211,0.235,-0.036,0.104,2.25,2.25,2.25,1.1,642.238,291.269,642.238,642.238,0.967,1.124,0.024,-7.025,-0.27,-0.01,0.156,-0.362,1.53,2.7,334.486,636.378,6.446,7.947,77.139,76.96,76.96,0.18,39.559,31.801,7.758,6.446
4_8,5_2_2_2,73.217,76.924,73.67,75.655,34.848,35.443,19.973,26.05,1.207,1.073,1.013,0.997,-0.273,-8.05,-0.2,0.66,-0.2,-0.2,-0.398,0.295,0.113,-0.036,2.25,2.25,2.25,1.02,642.238,164.182,642.238,642.238,0.873,1.087,-0.165,-8.898,-0.17,0.45,-0.122,-0.391,1.5,1.75,185.535,467.957,8.624,7.885,73.217,75.655,73.217,-2.437,19.973,26.05,-6.076,7.885
2_5,2_2_2_2,77.196,74.233,76.81,22.834,30.874,28.593,22.307,24.414,1.156,0.987,0.986,1.155,-0.583,-8.849,0.66,0.66,-0.2,-0.2,-0.373,0.301,0.086,0.086,1.02,2.25,2.25,1.02,164.182,164.182,642.238,642.238,1.102,0.862,-0.393,-8.926,0.66,-0.2,-0.389,-0.1,1.02,2.25,164.182,642.238,8.342,8.456,76.81,22.834,22.834,53.976,22.307,24.414,-2.107,8.342
3_3,4_2_2_5,80.367,80.367,79.024,79.024,28.047,28.047,21.057,21.057,1.142,1.094,0.994,1.02,1.217,-7.666,-0.17,-0.2,-0.2,-0.2,-0.235,0.232,-0.025,-0.021,1.5,2.25,2.25,2.25,185.535,642.238,642.238,642.238,1.074,1.074,1.92,-7.114,-0.27,-0.27,0.023,0.023,1.53,1.53,334.486,334.486,8.331,9.586,79.024,79.024,79.024,0,21.057,21.057,0,8.331
